Rk,School,Overall G,Overall W,Overall L,Overall W-L%,Overall SRS,Overall SOS,Conf. W,Conf. L,Home W,Home L,Home W-L%,Away W,Away L,Away W-L%,Points Tm.,Points Opp.,Column1,School Totals MP,School Totals FG,School Totals FGA,School Totals FG%,School Totals 3P,School Totals 3PA,School Totals 3P%,School Totals FT,School Totals FTA,School Totals FT%,School Totals ORB,School Totals TRB,School Totals AST,School Totals STL,School Totals BLK,School Totals TOV,School Totals PF
162,Maine,32,6,26,0.188,-14.51,-3.14,3,13,4,8,0.333333333,2,16,0.111111111,2140,2408,,1295,765,1871,0.409,225,743,0.303,385,560,0.688,304,1129,375,205,93,496,624
163,Manhattan,31,14,17,0.452,-4.8,-3.89,9,9,8,3,0.727272727,5,8,0.384615385,2147,2175,,1260,737,1661,0.444,239,598,0.4,434,625,0.694,319,1030,433,186,121,482,616
164,Marist,31,6,25,0.194,-12.19,-3.29,4,14,4,9,0.307692308,2,10,0.166666667,2239,2515,,1260,761,1710,0.445,280,802,0.349,437,612,0.714,233,1041,369,130,77,488,547
165,Marquette,32,19,13,0.594,12.64,9.92,9,9,11,6,0.647058824,5,5,0.5,2598,2511,,1295,906,1913,0.474,354,853,0.415,432,543,0.796,287,1029,504,197,116,386,610
166,Marshall,34,24,10,0.706,3.61,-0.91,12,6,15,2,0.882352941,6,8,0.428571429,2865,2680,,1375,992,2115,0.469,341,964,0.354,540,704,0.767,274,1232,585,233,198,449,586
167,Maryland-Baltimore County,34,24,10,0.706,-3.47,-4.99,12,4,15,2,0.882352941,9,7,0.5625,2513,2362,,1360,886,1993,0.445,346,894,0.387,395,609,0.649,338,1184,525,256,85,411,562
168,Maryland-Eastern Shore,32,7,25,0.219,-24.39,-7.32,3,13,6,5,0.545454545,0,18,0,1992,2473,,1280,710,1844,0.385,206,725,0.284,366,542,0.675,347,1065,347,151,57,417,548
169,Maryland,32,19,13,0.594,13.91,8.07,8,10,15,3,0.833333333,2,8,0.2,2338,2140,,1285,811,1696,0.478,229,617,0.371,487,645,0.755,305,1149,452,138,137,438,511
170,Massachusetts-Lowell,30,12,18,0.4,-9.46,-5.7,6,10,9,7,0.5625,3,11,0.214285714,2286,2356,,1205,791,1719,0.46,215,621,0.346,489,690,0.709,282,970,435,209,86,405,538
171,Massachusetts,33,13,20,0.394,-1.43,1.33,5,13,11,6,0.647058824,1,11,0.083333333,2374,2465,,1350,861,1918,0.449,293,732,0.4,359,481,0.746,300,1081,505,159,98,422,595
